File,Voxel size (mm),Exposure (ms),Voltage (kV),Current (uA),Frame averaging
UF-herp-79994-head.pca,0.01955444,200.098,100.0,200.0,3.0
MZUC-32032.pca,0.02183344,200.098,80.0,200.0,3.0
VIMS-40878-diceCT.pca,0.02071334,200.098,100.0,200.0,3.0
UF-herp-84427-diceCT.pca,0.04222976,250.097,130.0,200.0,3.0
UF-herp-142512-head.pca,0.02116693,200.098,100.0,200.0,3.0
CAS-AMP-93870.pca,0.10627983,200.098,120.0,200.0,3.0
ANSP-126326-diceCT.pca,0.03537129,200.098,130.0,200.0,3.0
UF-bird-52652-diceCT.pca,0.0191472,200.098,100.0,200.0,3.0
UF-herp-79994-body.pca,0.04212027,200.098,120.0,200.0,3.0
YPM-ICH-024741-diceCT.pca,0.02515803,200.098,120.0,200.0,3.0
YPM-MAM-005706-diceCT.pca,0.03718126,200.098,130.0,200.0,3.0
